singlish,sinhala
staan,සටහන්
dorathuva,දොරටුව
dorathoova,දොරටුව
kumara kumariyan,කුමර කුමරියන්
nihanda,නිහඬ
nihande,නිහඬ
nihand,නිහඬ
sehinya,සිහිනය
sinpatiia,සෙන්පතියා
stey,සතිය
sthey,සතිය
caduva,කඩුව
cadoova,කඩුව
rthreya,රාත්‍රිය
rtreya,රාත්‍රිය
gimhnya,ගිම්හානය
kumra kumariian,කුමර කුමරියන්
pituwa,පිටුව
pituva,පිටුව
nshaya,නාසය
nsaya,නාසය
gathakaya,ඝාතකයා
madeama,මධ්‍යම
sewnalla,සෙවණැල්ල
sthhura,සතුරා
sthhhura,සතුරා
wnaia,වනය
sohoyooriya,සොහොයුරිය
shohoyooriya,සොහොයුරිය
sohoyuriya,සොහොයුරිය
shohoyuriya,සොහොයුරිය
rahasparicshaka,රහස්පරීක්ෂක
rahasparicsaka,රහස්පරීක්ෂක
nihannde,නිහඬ
nihanndha,නිහඬ
nihannda,නිහඬ
jiwiia,ජීවියා
shndha,සඳ
sndha,සඳ
wrukaya,වෘකයා
wishhhwya,විශ්වය
wishhwya,විශ්වය
pethuva,පිටුව
petuva,පිටුව
rjoo,රජු
rju,රජු
cunaatuwa,කුණාටුව
coonaatuwa,කුණාටුව
cunaatuva,කුණාටුව
podhhi,පොඩි
vss,වැස්ස
vahibindu,වැහිබිඳු
siwnli,සෙවණැලි
svasa,සවස
maasaya,මාසය
canndha,කන්ද
methhura,මිතුරා
methura,මිතුරා
cunaatuva,කුණාටුව
naasaea,නාසය
plamoo,පළමු
plamu,පළමු
yaksaya,යක්ෂයා
yakshaya,යක්ෂයා
sooiur,සොහොයුරා
suiur,සොහොයුරා
mitiyvata,මිටියාවත
mitiyvatha,මිටියාවත
athhhithaya,අතීතය
athhithaya,අතීතය
athhheethaya,අතීතය
athheethaya,අතීතය
cndula,කඳුළ
cndoola,කඳුළ
shhtwarshaya,ශතවර්ෂය
shtwarshaya,ශතවර්ෂය
shhthwarshaya,ශතවර්ෂය
shthvarshaya,ශතවර්ෂය
jiiwithaya,ජීවිතය
jiiwitaya,ජීවිතය
troo,තරු
thru,තරු
throo,තරු
gaaneia,ගැහැනිය
guruwria,ගුරුවරයා
visannduma,විසඳුම
bhothaya,භූතයා
bhotaya,භූතයා
jiewiia,ජීවියා
ghatakaea,ඝාතකයා
raspariksaka,රහස්පරීක්ෂක
rasparikshaka,රහස්පරීක්ෂක
gtaluva,ගැටලුව
gtaluwa,ගැටලුව
taapashaia,තාපසයා
taapasaia,තාපසයා
mala,මල
yooddhya,යුද්ධය
yuddhya,යුද්ධය
mtacaya,මතකය
muduva,මුදුව
siithala,සීතල
siitala,සීතල
cern,කිරණ
jiwitaia,ජීවිතය
jeewitaia,ජීවිතය
jeewithaia,ජීවිතය
weshwya,විශ්වය
weswya,විශ්වය
codha,කුඩා
code,කුඩා
coda,කුඩා
ghthhhakaya,ඝාතකයා
ghthhakaya,ඝාතකයා
priwrthanaya,පරිවර්තනය
priwrtanaya,පරිවර්තනය
yuddhya,යුද්ධය
virhwa,විරහව
virhva,විරහව
hirubshyama,හිරුබැසයාම
hirubsyama,හිරුබැසයාම
dorathuwa,දොරටුව
dorathuva,දොරටුව
dorathhuwa,දොරටුව
seethala,සීතල
sithala,සීතල
sheethala,සීතල
shitala,සීතල
tharocata,තරුකැට
tarocata,තරුකැට
mla,මල
vahibinndhoo,වැහිබිඳු
vahibinndhu,වැහිබිඳු
mannnderaya,මන්දිරය
wisanndhooma,විසඳුම
wisanndhuma,විසඳුම
odsana,උදෑසන
odasana,උදෑසන
odhasana,උදෑසන
dhhinpotha,දිනපොත
dhhinpota,දිනපොත
shhatha,සතා
shata,සතා
shhata,සතා
stiya,සතිය
hirubsayama,හිරුබැසයාම
hiroobsayama,හිරුබැසයාම
sarpaea,සර්පයා
sharpaea,සර්පයා
mthhakaya,මතකය
mthakaya,මතකය
sietala,සීතල
eatura,යතුර
eathura,යතුර
lekhakaya,ලේඛකයා
enva,හිනාව
enwa,හිනාව
taranea,තරණය
tharanea,තරණය
dhhinapota,දිනපොත
gahaneia,ගැහැනිය
ponchi,පුංචි
midhhhuma,මීදුම
meedhhhuma,මීදුම
dhhortuva,දොරටුව
dhhortuwa,දොරටුව
nemnya,නිම්නය
menepettiya,මිනීපෙට්ටිය
rthreia,රාත්‍රිය
rtreia,රාත්‍රිය
nimnaia,නිම්නය
jivitya,ජීවිතය
jeevitya,ජීවිතය
muthha,මොහොත
mutha,මොහොත
mootha,මොහොත
moothha,මොහොත
ythoora,යතුර
ytoora,යතුර
ythura,යතුර
minipettiya,මිනීපෙට්ටිය
minipethtiya,මිනීපෙට්ටිය
dheweya,දෙවියා
rhasa,රහස
rhasha,රහස
wibindu,වැහිබිඳු
dwala,දවාල
dvala,දවාල
vanantharaya,වනන්තරය
wanantaraya,වනන්තරය
vanantaraya,වනන්තරය
wanantharaya,වනන්තරය
kanndukaraia,කඳුකරය
wishndooma,විසඳුම
wisnduma,විසඳුම
wisndooma,විසඳුම
diyniya,දියණිය
unusum,උණුසුම
oonusum,උණුසුම
mathhhhakaya,මතකය
mathhhakaya,මතකය
bijaya,බීජය
boroov,බොරුව
boruv,බොරුව
wibindhu,වැහිබිඳු
shinpathiya,සෙන්පතියා
sinpathiya,සෙන්පතියා
shinpatiya,සෙන්පතියා
sinpatiya,සෙන්පතියා
koomara kumariyan,කුමර කුමරියන්
kumara kumariyan,කුමර කුමරියන්
vahibindhu,වැහිබිඳු
andhhuru,අඳුරු
vartamanaia,වර්තමානය
varthamanaia,වර්තමානය
shulnga,සුළඟ
sulnga,සුළඟ
wsntya,වසන්තය
wsnthya,වසන්තය
sathyaya,සත්‍යය
wisnduma,විසඳුම
wisndooma,විසඳුම
davashhha,දවස
dewashhha,දවස
dawashhha,දවස
dhavashha,දවස
daroova,දරුවා
dharoova,දරුවා
deroova,දරුවා
druva,දරුවා
metoor,මිතුරා
methur,මිතුරා
methoor,මිතුරා
vanantharaia,වනන්තරය
vanantaraia,වනන්තරය
plignima,පළිගැනීම
vananthharaya,වනන්තරය
vanantharaya,වනන්තරය
wananthharaya,වනන්තරය
wanantharaya,වනන්තරය
nuvara,නුවර
noovara,නුවර
wishanduma,විසඳුම
wisanduma,විසඳුම
eakshaya,යක්ෂයා
eakshhaya,යක්ෂයා
sthut,සතුට
stoot,සතුට
sthoot,සතුට
stut,සතුට
gidra,ගෙදර
vishhwya,විශ්වය
vishwya,විශ්වය
upata,උපත
oopata,උපත
cadhapata,කැඩපත
vassa,වැස්ස
vashsa,වැස්ස
botaya,භූතයා
bothaya,භූතයා
viraava,විරහව
viraawa,විරහව
maranaea,මරණය
vahebindu,වැහිබිඳු
wahebindu,වැහිබිඳු
jiwithhya,ජීවිතය
jiwithya,ජීවිතය
pelitoora,පිළිතුර
pelitura,පිළිතුර
wisnduma,විසඳුම
stiia,සතිය
candhhukaraia,කඳුකරය
porwrutthaya,පුරාවෘත්තය
porwruththaya,පුරාවෘත්තය
byanaka,භයානක
wecruti,විකෘති
senpathiya,සෙන්පතියා
senpatiya,සෙන්පතියා
arunalu,අරුණලු
vasantaya,වසන්තය
wasantaya,වසන්තය
sanndeeleia,සඳඑළිය
sanndeleia,සඳඑළිය
sanndhaeleia,සඳඑළිය
sanndaeleia,සඳඑළිය
hinw,හිනාව
plaia,ඵලය
ycsaya,යක්ෂයා
kndukraya,කඳුකරය
amma,අම්මා
prajaya,පරාජය
wtt,වත්ත
satiya,සතිය
sathiya,සතිය
shathiya,සතිය
shatiya,සතිය
kumreya,කුමරිය
shhevanali,සෙවණැලි
shevanali,සෙවණැලි
sunndhhara,සුන්දර
vashantaea,වසන්තය
vashanthaea,වසන්තය
washantaea,වසන්තය
washanthaea,වසන්තය
wasantaea,වසන්තය
sehinia,සිහිනය
otthookaru,ඔත්තුකරු
oththukaru,ඔත්තුකරු
otthukaru,ඔත්තුකරු
oththookaru,ඔත්තුකරු
prashnaia,ප්‍රශ්නය
prashhnaia,ප්‍රශ්නය
punci,පුංචි
poonci,පුංචි
shivanalla,සෙවණැල්ල
sivanalla,සෙවණැල්ල
ateetaya,අතීතය
ateethaya,අතීතය
atitaya,අතීතය
atithaya,අතීතය
sooyoora,සොහොයුරා
shuyoora,සොහොයුරා
suyoora,සොහොයුරා
shooyoora,සොහොයුරා
suyooriya,සොහොයුරිය
suyuriya,සොහොයුරිය
satha,සතා
sathha,සතා
jiiwiy,ජීවියා
nehannda,නිහඬ
nehanndha,නිහඬ
nehannde,නිහඬ
nehannd,නිහඬ
wekruti,විකෘති
wekruthi,විකෘති
orlosuv,ඔරලෝසුව
orloshuv,ඔරලෝසුව
paradhhaia,අපරාධය
doratuva,දොරටුව
dorathoowa,දොරටුව
dorathuva,දොරටුව
doratoova,දොරටුව
doratoowa,දොරටුව
heenaya,හීනය
hinaya,හීනය
menipittiia,මිනීපෙට්ටිය
parivartanaia,පරිවර්තනය
athhiithaya,අතීතය
athiithaya,අතීතය
wnntaraya,වනන්තරය
shenptiya,සෙන්පතියා
senptiya,සෙන්පතියා
naagataia,අනාගතය
rhashparikshaka,රහස්පරීක්ෂක
rhashpareekshaka,රහස්පරීක්ෂක
rhashhparikshaka,රහස්පරීක්ෂක
rhashhpareekshaka,රහස්පරීක්ෂක
curull,කුරුල්ලා
coorull,කුරුල්ලා
herubasayama,හිරුබැසයාම
heroobasayama,හිරුබැසයාම
whibinndhu,වැහිබිඳු
nnduru,අඳුරු
weshhvaya,විශ්වය
weshhwaya,විශ්වය
weshwaya,විශ්වය
bhothy,භූතයා
bhoty,භූතයා
iaksaia,යක්ෂයා
bhuthhaya,භූතයා
bhuthaya,භූතයා
bhoothhaya,භූතයා
blaporottuwa,බලාපොරොත්තුව
blaporottuva,බලාපොරොත්තුව
gannndera,ගන්දර
gannndara,ගන්දර
gannndhara,ගන්දර
jyagrahanaya,ජයග්‍රහණය
ytura,යතුර
ythura,යතුර
dvasa,දවස
ahashha,අහස
ahasha,අහස
cudh,කුඩා
koly,කොළය
thrsjanaca,ත්‍රාසජනක
trsjanaca,ත්‍රාසජනක
shundr,සුන්දර
sundr,සුන්දර
bhaianaka,භයානක
tharukata,තරුකැට
thharukata,තරුකැට
thharookata,තරුකැට
tharookata,තරුකැට
mlya,මාලය
otthucaru,ඔත්තුකරු
ottucaru,ඔත්තුකරු
soyureya,සොහොයුරිය
kathava,කතාව
kathawa,කතාව
katawa,කතාව
katava,කතාව
soondr,සුන්දර
sundr,සුන්දර
sohoiur,සොහොයුරා
solanga,සුළඟ
lechacaia,ලේඛකයා
raasparieksaka,රහස්පරීක්ෂක
vsantaya,වසන්තය
vshanthaya,වසන්තය
vsanthaya,වසන්තය
bhuthhaya,භූතයා
bhoothhhaya,භූතයා
bhoothhaya,භූතයා
mavata,මාවත
mthakaia,මතකය
mthhakaia,මතකය
hnshaia,හංසයා
hnsaia,හංසයා
parivartanaia,පරිවර්තනය
pariwartanaia,පරිවර්තනය
eakshaya,යක්ෂයා
eaksaya,යක්ෂයා
kurulu,කුරුළු
wasanthhhaya,වසන්තය
wasanthhaya,වසන්තය
vasanthhaya,වසන්තය
vasanthhhaya,වසන්තය
yugya,යුගය
shuyuriya,සොහොයුරිය
suyuriya,සොහොයුරිය
sndaeliya,සඳඑළිය
shndaeliya,සඳඑළිය
sndeliya,සඳඑළිය
sndeeliya,සඳඑළිය
kode,කුඩා
koda,කුඩා
kod,කුඩා
minipittiya,මිනීපෙට්ටිය
minipithtiya,මිනීපෙට්ටිය
lechakaya,ලේඛකයා
rasa,රහස
jiiwiya,ජීවියා
sathuta,සතුට
satuta,සතුට
ponkhi,පුංචි
kanndhoola,කඳුළ
kanndhula,කඳුළ
pithpata,පිටපත
pitpata,පිටපත
sohoiuriya,සොහොයුරිය
shohoiuriya,සොහොයුරිය
shohoyuriy,සොහොයුරිය
sohoyuriy,සොහොයුරිය
shhapaia,ශාපය
shapaia,ශාපය
aaaraya,ආහාරය
rahaspareecsaka,රහස්පරීක්ෂක
rahasparicsaka,රහස්පරීක්ෂක
gimhanaia,ගිම්හානය
kerna,කිරණ
yoddhya,යුද්ධය
blporotthuva,බලාපොරොත්තුව
blporoththuwa,බලාපොරොත්තුව
maalegava,මාළිගාව
maalegawa,මාළිගාව
balaporothhhthuva,බලාපොරොත්තුව
balaporothhhthoova,බලාපොරොත්තුව
balaporothhthoowa,බලාපොරොත්තුව
balaporothhhthoowa,බලාපොරොත්තුව
balaporothhthuwa,බලාපොරොත්තුව
raaspariksaka,රහස්පරීක්ෂක
raasparikshaka,රහස්පරීක්ෂක
yoddhaya,යුද්ධය
jivithaya,ජීවිතය
jivithhaya,ජීවිතය
annduru,අඳුරු
anndooru,අඳුරු
knnnd,කන්ද
knnnda,කන්ද
knnndha,කන්ද
vahibindhhu,වැහිබිඳු
wahibindhhu,වැහිබිඳු
sithhla,සීතල
sithla,සීතල
ghathacaya,ඝාතකයා
ghatacaya,ඝාතකයා
srpaya,සර්පයා
shrpaya,සර්පයා
blaporotthuva,බලාපොරොත්තුව
blaporoththuva,බලාපොරොත්තුව
dhorathuva,දොරටුව
dhoratuva,දොරටුව
dhorathuwa,දොරටුව
dhoratuwa,දොරටුව
shewanali,සෙවණැලි
shhevanali,සෙවණැලි
shhewanali,සෙවණැලි
shevanali,සෙවණැලි
priwartanaia,පරිවර්තනය
privartanaia,පරිවර්තනය
dhupta,දූපත
dhuptha,දූපත
vaibinndoo,වැහිබිඳු
waibinndu,වැහිබිඳු
vaibinndu,වැහිබිඳු
waibinndoo,වැහිබිඳු
nehndha,නිහඬ
prshnaia,ප්‍රශ්නය
prsnaia,ප්‍රශ්නය
oonoosum,උණුසුම්
unoosum,උණුසුම්
sudoo,සුදු
soodoo,සුදු
ridee,රිදී
ridi,රිදී
gemhnaya,ගිම්හානය
aalokaya,ආලෝකය
satiaia,සත්‍යය
sathiaia,සත්‍යය
jiwitaia,ජීවිතය
jeewitaia,ජීවිතය
aaharaia,ආහාරය
leya,අලියා
gandhhara,ගන්දර
komara kumariyan,කුමර කුමරියන්
prdhaya,අපරාධය
jayagrahanaya,ජයග්‍රහණය
sngwunu,සැඟවුණු
potha,පොත
pothha,පොත
senpthiy,සෙන්පතියා
shenptiy,සෙන්පතියා
shenpthiy,සෙන්පතියා
coomaraya,කුමාරයා
cumaraya,කුමාරයා
shangavunu,සැඟවුණු
sangavunu,සැඟවුණු
shangavoonu,සැඟවුණු
vitthi,විත්ති
vitti,විත්ති
mdhhhyamaraa,මධ්‍යමරෑ
sthha,සතා
stha,සතා
aalocaia,ආලෝකය
klo,කළු
meteyavata,මිටියාවත
meteyavatha,මිටියාවත
senpthiya,සෙන්පතියා
senptiya,සෙන්පතියා
jiwethia,ජීවිතය
jeewetia,ජීවිතය
jeewethia,ජීවිතය
jiwetia,ජීවිතය
udashana,උදෑසන
udaashhana,උදෑසන
udaashana,උදෑසන
udeashhana,උදෑසන
sthhoota,සතුට
sthuta,සතුට
sthoota,සතුට
carthhru,කර්තෘ
carthhhru,කර්තෘ
dra,ආදර
kumreia,කුමරිය
jewiy,ජීවියා
sapaya,ශාපය
sulanga,සුළඟ
shulanga,සුළඟ
mtakaia,මතකය
priwrtanaya,පරිවර්තනය
wisndum,විසඳුම
unusuma,උණුසුම
wahibinndo,වැහිබිඳු
vahibinndo,වැහිබිඳු
prsnaia,ප්‍රශ්නය
rahaspariicshaka,රහස්පරීක්ෂක
rahaspariicsaka,රහස්පරීක්ෂක
mligva,මාළිගාව
mligwa,මාළිගාව
wanantaraya,වනන්තරය
vanantaraya,වනන්තරය
prshnaya,ප්‍රශ්නය
prshhnaya,ප්‍රශ්නය
whibindhu,වැහිබිඳු
hnshaya,හංසයා
hnsaya,හංසයා
prewrthhanaya,පරිවර්තනය
prewrthanaya,පරිවර්තනය
weswia,විශ්වය
weshwia,විශ්වය
vurudd,අවුරුද්ද
cathava,කතාව
cathhava,කතාව
dhahama,දහම
kumraia,කුමාරයා
koomraia,කුමාරයා
jivithaya,ජීවිතය
jeevithaya,ජීවිතය
jivithhaya,ජීවිතය
jeevithhaya,ජීවිතය
doopthha,දූපත
dupthha,දූපත
dooptha,දූපත
stuta,සතුට
sthuta,සතුට
kadhapata,කැඩපත
kadhapatha,කැඩපත
devala,දවාල
davala,දවාල
ndooru,අඳුරු
nduru,අඳුරු
abirahasa,අභිරහස
ratriya,රාත්‍රිය
thapasaya,තාපසයා
tapasaya,තාපසයා
thapashaya,තාපසයා
tapashaya,තාපසයා
katha,කට
kata,කට
orlosuwa,ඔරලෝසුව
orlosuva,ඔරලෝසුව
stura,සතුරා
sthoora,සතුරා
stoora,සතුරා
gtaloowa,ගැටලුව
gtaluwa,ගැටලුව
gtaloova,ගැටලුව
rthreya,රාත්‍රිය
rthhreya,රාත්‍රිය
pariwarthanaia,පරිවර්තනය
pariwarthhanaia,පරිවර්තනය
parivarthhanaia,පරිවර්තනය
ghathakaea,ඝාතකයා
virawa,විරහව
virava,විරහව
vikruthi,විකෘති
vikruti,විකෘති
siwanali,සෙවණැලි
sivanali,සෙවණැලි
hema,හිම
caalaya,කාලය
hirubashaiama,හිරුබැසයාම
hirubasaiama,හිරුබැසයාම
pariwartanaya,පරිවර්තනය
pariwarthanaya,පරිවර්තනය
parivartanaya,පරිවර්තනය
shohoiureya,සොහොයුරිය
sohoiureya,සොහොයුරිය
sevnlla,සෙවණැල්ල
senaia,සිංහයා
gnga,ගඟ
nihanndha,නිහඬ
paara,පාර
madhhhyamaraa,මධ්‍යමරෑ
nndhuru,අඳුරු
shriraia,ශරීරය
sriraia,ශරීරය
viilu,විහිළු
viiloo,විහිළු
sitla,සීතල
koonaatuwa,කුණාටුව
kunaatuwa,කුණාටුව
hnsaia,හංසයා
shenpatiya,සෙන්පතියා
senpatiya,සෙන්පතියා
minipethtii,මිනීපෙට්ටිය
minipettii,මිනීපෙට්ටිය
deweya,දෙවියා
diapaara,දියපාර
deeapaara,දියපාර
msaya,මාසය
mshaya,මාසය
giethaya,ගීතය
gietaya,ගීතය
wasantaia,වසන්තය
vasantaia,වසන්තය
cndukaraia,කඳුකරය
gamana,ගමන
sandhailiya,සඳඑළිය
parivartanaia,පරිවර්තනය
pariwarthanaia,පරිවර්තනය
dhopata,දූපත
maha,මහ
vahibinndhhu,වැහිබිඳු
wahibinndhhu,වැහිබිඳු
blporoththuva,බලාපොරොත්තුව
blporothhthuwa,බලාපොරොත්තුව
blporoththuwa,බලාපොරොත්තුව
shihinia,සිහිනය
sihinia,සිහිනය
shtavarshaya,ශතවර්ෂය
shthavarshaya,ශතවර්ෂය
stawarshaya,ශතවර්ෂය
shtawarshaya,ශතවර්ෂය
shthawarshaya,ශතවර්ෂය
kadhapata,කැඩපත
privarthanaya,පරිවර්තනය
priwarthanaya,පරිවර්තනය
privartanaya,පරිවර්තනය
annduru,අඳුරු
matakaia,මතකය
sthiy,සතිය
sthhiy,සතිය
sinptiia,සෙන්පතියා
sinpthiia,සෙන්පතියා
sooioora,සොහොයුරා
suioora,සොහොයුරා
shooioora,සොහොයුරා
shuioora,සොහොයුරා
candukaraya,කඳුකරය
candookaraya,කඳුකරය
kndula,කඳුළ
cumaraia,කුමාරයා
rasha,රහස
rasa,රහස
wisandhoma,විසඳුම
iuddeya,යුද්ධය
iooddeya,යුද්ධය
iuddaya,යුද්ධය
iooddaya,යුද්ධය
hima,හිම
sewanale,සෙවණැලි
sevanale,සෙවණැලි
kdpathhha,කැඩපත
kdepathha,කැඩපත
kdapathhha,කැඩපත
kdhapathha,කැඩපත
kaduva,කඩුව
prisaraya,පරිසරය
hamudeva,හමුදාව
hamudava,හමුදාව
hamudva,හමුදාව
andura,අඳුර
dvasha,දවස
davasha,දවස
davasa,දවස
dhavasa,දවස
devasha,දවස
dopathha,දූපත
dopatha,දූපත
wecroothi,විකෘති
wecruti,විකෘති
wecrooti,විකෘති
kaloo,කළු
kalu,කළු
ythhoora,යතුර
ythhura,යතුර
locaya,ආලෝකය
hsa,අහස
alocaya,ආලෝකය
midhooma,මීදුම
meedhooma,මීදුම
wsantaia,වසන්තය
senpathhiya,සෙන්පතියා
senpathiya,සෙන්පතියා
purwruthhthaia,පුරාවෘත්තය
purwruththaia,පුරාවෘත්තය
inia,හීනය
eenia,හීනය
aalokaia,ආලෝකය
diveya,දෙවියා
dhruva,දරුවා
ndhur,අඳුර
dhhavala,දවාල
pithuva,පිටුව
pithoova,පිටුව
pitoova,පිටුව
palamu,පළමු
akonoo,අකුණු
akonu,අකුණු
luthhh,අලුත්
loothhh,අලුත්
luthh,අලුත්
moduw,මුදුව
bhirhas,අභිරහස්
shangavunu,සැඟවුණු
shhangavunu,සැඟවුණු
acunu,අකුණු
mitiyvta,මිටියාවත
mitiyvtha,මිටියාවත
wiswya,විශ්වය
sgaraya,සාගරය
canndookaraya,කඳුකරය
canndukaraya,කඳුකරය
cdhapatha,කැඩපත
cdhapata,කැඩපත
vikruthi,විකෘති
vikruthhi,විකෘති
le,ලේ
koonathuwa,කුණාටුව
koonatuva,කුණාටුව
kunatuva,කුණාටුව
koonathuva,කුණාටුව
kunathuwa,කුණාටුව
sande,සඳ
shanda,සඳ
sanda,සඳ
sand,සඳ
shand,සඳ
sohoyora,සොහොයුරා
kdhapata,කැඩපත
kdapata,කැඩපත
kdepata,කැඩපත
kdpata,කැඩපත
shthiya,සත්‍යය
sthiya,සත්‍යය
stiya,සත්‍යය
sohoeuriya,සොහොයුරිය
mvata,මාවත
mvatha,මාවත
andhhhuru,අඳුරු
sagaraea,සාගරය
hirubashhayama,හිරුබැසයාම
hirubashayama,හිරුබැසයාම
sundhara,සුන්දර
soondhara,සුන්දර
gidhra,ගෙදර
ythhura,යතුර
ythura,යතුර
noduthu,නොදුටු
noduthhu,නොදුටු
otthukru,ඔත්තුකරු
oththukru,ඔත්තුකරු
mul,මුල
thaapasaya,තාපසයා
thaapashaya,තාපසයා
thhaapashaya,තාපසයා
thhaapasaya,තාපසයා
githia,ගීතය
geethhia,ගීතය
geethia,ගීතය
githhia,ගීතය
pilitur,පිළිතුර
sriraia,ශරීරය
sreeraia,ශරීරය
shreeraia,ශරීරය
abherahash,අභිරහස්
abherahashh,අභිරහස්
aadera,ආදර
aadra,ආදර
aadara,ආදර
aadhara,ආදර
vsanthhaya,වසන්තය
vsanthaya,වසන්තය
kodha,කුඩා
witti,විත්ති
koontuwa,කුණාටුව
koontuva,කුණාටුව
prashhnaea,ප්‍රශ්නය
prashnaea,ප්‍රශ්නය
biejy,බීජය
vicruthi,විකෘති
vicruti,විකෘති
vicrooti,විකෘති
vicroothi,විකෘති
kduwa,කඩුව
kdoowa,කඩුව
kduva,කඩුව
paresharaia,පරිසරය
paresaraia,පරිසරය
jlaia,ජලය
wrukaya,වෘකයා
wrookaya,වෘකයා
wishannnduma,විසඳුම
wisannnduma,විසඳුම
sathiia,සතිය
shathiia,සතිය
satiia,සතිය
shatiia,සතිය
sathavarsaya,ශතවර්ෂය
satavarshaya,ශතවර්ෂය
satavarsaya,ශතවර්ෂය
sathavarshaya,ශතවර්ෂය
gimhnaia,ගිම්හානය
wsan,අවසන්
paradhaia,අපරාධය
masaea,මාසය
vasanthaya,වසන්තය
vasanthhaya,වසන්තය
dhruw,දරුවා
sanndaeliya,සඳඑළිය
sanndeeliya,සඳඑළිය
shanndaeliya,සඳඑළිය
sanndiliya,සඳඑළිය
gatalowa,ගැටලුව
gatalova,ගැටලුව
wnia,වනය
para,පාර
shanda,සඳ
shhanda,සඳ
shandha,සඳ
vithhthi,විත්ති
viththi,විත්ති
senpatiia,සෙන්පතියා
shenpatiia,සෙන්පතියා
vaibindu,වැහිබිඳු
waibindu,වැහිබිඳු
lmya,ළමයා
phlya,ඵලය
shiinaya,සිහිනය
siinaya,සිහිනය
trasajanaca,ත්‍රාසජනක
trashajanaca,ත්‍රාසජනක
wooroodda,අවුරුද්ද
wuroodda,අවුරුද්ද
wooroodd,අවුරුද්ද
wicruti,විකෘති
wurudhhda,අවුරුද්ද
wurudhhde,අවුරුද්ද
wurudhhd,අවුරුද්ද
tharu,තරු
thharu,තරු
mannderaia,මන්දිරය
ratu,රතු
kndukaraia,කඳුකරය
prashhhnaia,ප්‍රශ්නය
prashhnaia,ප්‍රශ්නය
sanndeeleya,සඳඑළිය
sanndeleya,සඳඑළිය
sanndileya,සඳඑළිය
sanndaeleya,සඳඑළිය
suyuriy,සොහොයුරිය
sooyuriy,සොහොයුරිය
jiwiya,ජීවියා
manndhiraia,මන්දිරය
hansaia,හංසයා
carthru,කර්තෘ
carthhru,කර්තෘ
kadhuwa,කඩුව
kadhuva,කඩුව
pilithura,පිළිතුර
pilithhura,පිළිතුර
udeasana,උදෑසන
udhaasana,උදෑසන
udaasana,උදෑසන
udasana,උදෑසන
mudhhuw,මුදුව
dhiveya,දෙවියා
kanndookaraia,කඳුකරය
kanndukaraia,කඳුකරය
nodotu,නොදුටු
nodothu,නොදුටු
bhootia,භූතයා
bhutia,භූතයා
dortoova,දොරටුව
dortuva,දොරටුව
kadhuva,කඩුව
ctava,කතාව
ctawa,කතාව
srpaea,සර්පයා
ottucru,ඔත්තුකරු
adharaia,ආදරය
shpaia,ශාපය
spaia,ශාපය
bijia,බීජය
vidanawa,වේදනාව
vidanava,වේදනාව
vidnawa,වේදනාව
nodotu,නොදුටු
cuntuwa,කුණාටුව
cuntuva,කුණාටුව
siethhala,සීතල
siethhhala,සීතල
thhrsajanaka,ත්‍රාසජනක
thrsajanaka,ත්‍රාසජනක
boruwa,බොරුව
boroowa,බොරුව
boroova,බොරුව
boruva,බොරුව
tharoocata,තරුකැට
thharoocata,තරුකැට
thharucata,තරුකැට
tharucata,තරුකැට
purwruththaea,පුරාවෘත්තය
purwrutthaea,පුරාවෘත්තය
likakaya,ලේඛකයා
snndeeliia,සඳඑළිය
snndeliia,සඳඑළිය
snndaeliia,සඳඑළිය
pothhha,පොත
pothha,පොත
tarukata,තරුකැට
wasantaea,වසන්තය
vasantaea,වසන්තය
shihinaia,සිහිනය
sihinaia,සිහිනය
bejaia,බීජය
sangavunoo,සැඟවුණු
sangavoonoo,සැඟවුණු
dhorathoova,දොරටුව
dhorathuva,දොරටුව
dhorathoowa,දොරටුව
dhiiniya,දියණිය
cdhuwa,කඩුව
cdhuva,කඩුව
blporoththuva,බලාපොරොත්තුව
blporotthuva,බලාපොරොත්තුව
sathhawarshaia,ශතවර්ෂය
sathavarshaia,ශතවර්ෂය
sathawarsaia,ශතවර්ෂය
shwasa,සවස
shvasa,සවස
svasa,සවස
swasa,සවස
washanthhhaya,වසන්තය
wasanthhhaya,වසන්තය
vasanthhaya,වසන්තය
vashanthhaya,වසන්තය
kannndha,කන්ද
tharanya,තරණය
thharanya,තරණය
atitaia,අතීතය
atithaia,අතීතය
warthhamanaya,වර්තමානය
varthhamanaya,වර්තමානය
warthhhamanaya,වර්තමානය
nasaya,නාසය
sandhhaeliya,සඳඑළිය
dhhupata,දූපත
dhhupatha,දූපත
doratova,දොරටුව
doratowa,දොරටුව
dorathowa,දොරටුව
gahaneya,ගැහැනිය
lut,අලුත්
cnda,කන්ද
cnde,කන්ද
cndha,කන්ද
cnd,කන්ද
pradhhaya,අපරාධය
wlakoolu,වළාකුළු
wlakulu,වළාකුළු
madhheamaraa,මධ්‍යමරෑ
dhhaiwaya,දෛවය
madhhiamara,මධ්‍යමරෑ
annnduru,අඳුරු
wesannnduma,විසඳුම
bootya,භූතයා
boothya,භූතයා
otthucaru,ඔත්තුකරු
ottoocaru,ඔත්තුකරු
ottucaru,ඔත්තුකරු
otthoocaru,ඔත්තුකරු
mthacaya,මතකය
mthhacaya,මතකය
maayam,මායම්
thhrashajanaka,ත්‍රාසජනක
